Tinel,Negs,Sum,Count,Divzero,Average,Score,t,n,s,c,d,a
ok,ok,ok,ok,XGP,ok,16,3,3,3,3,1,3
s,ok,ok,ok,XGP,ok,14,1,3,3,3,1,3
s,ok,ok,ok,XGP,ok,14,1,3,3,3,1,3
ok,X,ok,ok,ok,ok,15,3,0,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,s,ok,16,3,3,3,3,1,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,s,ok,ok,ok,ok,16,3,1,3,3,3,3
ok,s,ok,ok,ok,ok,16,3,1,3,3,3,3
ok,s,ok,ok,X,ok,13,3,1,3,3,0,3
ok,ok,ok,ok,XGP,ok,16,3,3,3,3,1,3
ok,ok,ok,ok,XGP,ok,16,3,3,3,3,1,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,s,ok,16,3,3,3,3,1,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,s,ok,16,3,3,3,3,1,3
s,ok,ok,ok,XGP,ok,14,1,3,3,3,1,3
ok,ok,ok,ok,s,ok,16,3,3,3,3,1,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,X,ok,15,3,3,3,3,0,3
ok,ok,ok,ok,XGP,ok,16,3,3,3,3,1,3
ok,s,ok,s,ok,ok,14,3,1,3,1,3,3
ok,ok,ok,ok,X,ok,15,3,3,3,3,0,3
ok,ok,ok,ok,s,ok,16,3,3,3,3,1,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,s,ok,16,3,3,3,3,1,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,X,ok,ok,ok,ok,15,3,0,3,3,3,3
ok,s,ok,s,ok,ok,14,3,1,3,1,3,3
ok,ok,ok,ok,s,ok,16,3,3,3,3,1,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
s,ok,ok,ok,XGP,ok,14,1,3,3,3,1,3
ok,ok,ok,ok,s,ok,16,3,3,3,3,1,3
ok,s,ok,ok,XGP,ok,14,3,1,3,3,1,3
ok,ok,ok,ok,XGP,ok,16,3,3,3,3,1,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
s,ok,ok,ok,ok,ok,16,1,3,3,3,3,3
ok,ok,ok,ok,s,ok,16,3,3,3,3,1,3
ok,ok,ok,ok,s,ok,16,3,3,3,3,1,3
ok,ok,ok,ok,XGP,ok,16,3,3,3,3,1,3
ok,s,ok,s,XGP,ok,12,3,1,3,1,1,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,s,ok,16,3,3,3,3,1,3
ok,ok,ok,ok,X,ok,15,3,3,3,3,0,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
s,ok,ok,ok,XGP,ok,14,1,3,3,3,1,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,s,ok,ok,XGP,ok,14,3,1,3,3,1,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,s,ok,16,3,3,3,3,1,3
ok,ok,ok,ok,XGP,ok,16,3,3,3,3,1,3
ok,ok,ok,ok,XGP,ok,16,3,3,3,3,1,3
ok,ok,ok,s,XGP,ok,14,3,3,3,1,1,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,s,ok,ok,s,ok,14,3,1,3,3,1,3
ok,ok,ok,ok,XGP,ok,16,3,3,3,3,1,3
ok,s,ok,ok,ok,ok,16,3,1,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,s,ok,ok,s,ok,14,3,1,3,3,1,3
ok,ok,ok,ok,s,ok,16,3,3,3,3,1,3
ok,ok,ok,ok,XGP,ok,16,3,3,3,3,1,3
ok,ok,ok,ok,s,ok,16,3,3,3,3,1,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,XGP,ok,16,3,3,3,3,1,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,X,ok,ok,X,ok,12,3,0,3,3,0,3
s,ok,ok,ok,X,ok,13,1,3,3,3,0,3
ok,X,ok,ok,XGP,ok,13,3,0,3,3,1,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,X,ok,15,3,3,3,3,0,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,XGP,ok,16,3,3,3,3,1,3
ok,ok,ok,ok,XGP,ok,16,3,3,3,3,1,3
ok,ok,s,ok,ok,ok,16,3,3,1,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,s,ok,16,3,3,3,3,1,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,X,ok,15,3,3,3,3,0,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,s,ok,ok,X,ok,13,3,1,3,3,0,3
ok,ok,ok,ok,X,ok,15,3,3,3,3,0,3
ok,ok,ok,ok,s,ok,16,3,3,3,3,1,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,s,ok,ok,XGP,ok,14,3,1,3,3,1,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,X,ok,15,3,3,3,3,0,3
ok,ok,ok,ok,s,ok,16,3,3,3,3,1,3
ok,ok,ok,ok,XGP,ok,16,3,3,3,3,1,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,s,ok,ok,ok,ok,16,3,1,3,3,3,3
ok,s,ok,ok,ok,ok,16,3,1,3,3,3,3
s,ok,ok,ok,XGP,ok,14,1,3,3,3,1,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,XGP,ok,16,3,3,3,3,1,3
s,s,ok,ok,s,ok,12,1,1,3,3,1,3
ok,s,ok,ok,XGP,ok,14,3,1,3,3,1,3
